Gradiente;Código CBO;Título da Família Ocupacional;Correlato ISCO-08;codigo_cbo_4;total_vinculos_ativos
0;2147;;;2147;6811
0;7221;;;7221;6713
0;3110;;;3110;6707
0;7801;;;7801;6632
0;8625;;;8625;6617
0;7253;;;7253;6600
0;2343;;;2343;6463
Gradiente 3;2112;Profissionais da matemática, atuários e estatísticos;2120 - Mathematicians, Actuaries and Statisticians;2112;6389
0;2627;;;2627;6375
0;9143;;;9143;6220
0;7511;;;7511;6191
0;8482;;;8482;6142
0;3181;;;3181;6079
Gradiente 2;2613;Arquivistas e museólogos;2621 - Archivists and Curators;2613;6037
0;2628;;;2628;5991
0;2134;;;2134;5902
0;8202;;;8202;5726
0;3142;;;3142;5688
0;3187;;;3187;5503
0;8116;;;8116;5427
0;2349;;;2349;5415
0;6313;;;6313;5310
0;3322;;;3322;5291
0;5243;;;5243;5243
0;7623;;;7623;5242
0;2341;;;2341;5053
0;3426;;;3426;4854
0;6320;;;6320;4828
0;8221;;;8221;4808
0;5102;;;5102;4739
0;7751;;;7751;4695
0;9151;;;9151;4685
0;7735;;;7735;4677
0;7651;;;7651;4653
0;8421;;;8421;4580
0;2034;;;2034;4573
0;5242;;;5242;4540
0;3226;;;3226;4505
0;3732;;;3732;4503
Gradiente 3;3422;Despachantes aduaneiros;3331 - Clearing and Forwarding Agents;3422;4466
0;7606;;;7606;4419
0;3413;;;3413;4369
Gradiente 2;3544;Analistas de comércio exterior e Leiloeiros/avaliadores;3324 / 3315 - Trade Brokers / Valuers;3544;4349
0;2253;;;2253;4289
0;8231;;;8231;4263
0;8211;;;8211;4245
0;2413;;;2413;4170
Gradiente 2;1236;Diretores e Gerentes de serviços de informática;1330 - ICT Service Managers;1236;4167
0;2533;;;2533;4141
0;7231;;;7231;4140
Gradiente 2;3547;Técnicos de vendas especializadas e Rep. comerciais autônomos;3322 - Commercial Sales Representatives;3547;4124
Gradiente 1;2618;Fotógrafos profissionais;3431 - Photographers;2618;4033
0;7813;;;7813;3994
0;2626;;;2626;3938
0;6312;;;6312;3893
0;2152;;;2152;3891
0;1142;;;1142;3877
0;7161;;;7161;3871
0;2526;;;2526;3761
0;3546;;;3546;3711
0;7653;;;7653;3675
0;7654;;;7654;3641
0;2035;;;2035;3625
0;7312;;;7312;3597
0;8624;;;8624;3563
0;8201;;;8201;3548
0;1232;;;1232;3526
0;3250;;;3250;3495
0;3146;;;3146;3472
0;2631;;;2631;3438
0;3411;;;3411;3404
0;3223;;;3223;3364
0;7605;;;7605;3341
0;7664;;;7664;3318
0;6133;;;6133;3297
0;8311;;;8311;3217
0;7622;;;7622;3177
0;2146;;;2146;3170
0;6110;;;6110;3101
0;6120;;;6120;3093
0;7510;;;7510;3008
Gradiente 3;2616;Profissionais do jornalismo e Editores;2642 / 2641 - Journalists / Authors;2616;2969
0;3182;;;3182;2893
0;8103;;;8103;2874
0;7811;;;7811;2844
0;8301;;;8301;2818
0;9542;;;9542;2792
0;7524;;;7524;2779
0;7828;;;7828;2740
0;4153;;;4153;2727
0;1141;;;1141;2699
Gradiente 2;1227;Diretores e Gerentes em instituições de interm. financeira;1346 - Financial and Insurance Branch Managers;1227;2686
0;7817;;;7817;2626
0;7911;;;7911;2625
Gradiente 3;2615;Profissionais da escrita (Autores, redatores, críticos);2641 - Authors and Related Writers;2615;2586
0;8612;;;8612;2517
0;3030;;;3030;2497
0;8332;;;8332;2418
0;7764;;;7764;2418
0;1226;;;1226;2347
0;7256;;;7256;2337
0;1111;;;1111;2255
0;7732;;;7732;2248
0;2623;;;2623;2237
0;8416;;;8416;2155
0;3147;;;3147;2134
0;7686;;;7686;2063
Gradiente 2;1224;Diretores e Gerentes de operações comerciais (Varejo/Atacado);1420 - Retail and Wholesale Trade Managers;1224;1995
0;3742;;;3742;1989
0;8121;;;8121;1967
0;3020;;;3020;1964
0;8115;;;8115;1962
0;7681;;;7681;1958
Gradiente 1;3713;Técnicos em artes gráficas;7321 - Pre-press Technicians;3713;1944
Gradiente 2;2511;Pesquisadores sociais (Sociólogos, Antropólogos) e Filósofos;2632 / 2633 - Sociologists / Philosophers;2511;1942
0;1234;;;1234;1936
0;2010;;;2010;1929
0;1222;;;1222;1901
0;3281;;;3281;1899
Gradiente 2;2513;Profissionais em pesquisa e análise geográfica;2165 - Cartographers and Surveyors;2513;1891
0;1237;;;1237;1837
0;8412;;;8412;1797
0;3161;;;3161;1797
0;7621;;;7621;1774
0;3227;;;3227;1774
0;7682;;;7682;1767
0;1223;;;1223;1765
Gradiente 3;3545;Técnicos e Corretores de seguros;3321 - Insurance Representatives;3545;1764
0;3763;;;3763;1751
0;9543;;;9543;1719
0;1238;;;1238;1712
0;9502;;;9502;1629
0;2622;;;2622;1625
0;8112;;;8112;1622
0;9109;;;9109;1605
0;3116;;;3116;1527
0;6131;;;6131;1414
0;2342;;;2342;1397
0;3225;;;3225;1395
Gradiente 1;1225;Dir. e Gerentes de op. em empresas de turismo/hotelaria;1411 - Hotel Managers;1225;1346
0;7162;;;7162;1340
0;7650;;;7650;1306
0;9912;;;9912;1299
0;2429;;;2429;1254
0;2012;;;2012;1253
0;9142;;;9142;1231
0;7687;;;7687;1225
0;7502;;;7502;1182
0;2222;;;2222;1163
0;5114;;;5114;1127
0;3231;;;3231;1098
Gradiente 1;2131;Físicos e Profissionais das ciências atmosféricas/espaciais;2111 / 2112 - Physicists / Meteorologists;2131;1073
0;3112;;;3112;1072
0;7521;;;7521;1057
0;2148;;;2148;992
0;1418;;;1418;971
0;3113;;;3113;970
0;3010;;;3010;954
0;6324;;;6324;911
0;3201;;;3201;882
0;3253;;;3253;882
0;7611;;;7611;872
0;6234;;;6234;858
0;7114;;;7114;843
0;1144;;;1144;820
0;2414;;;2414;802
0;3191;;;3191;783
0;3524;;;3524;768
0;3183;;;3183;757
0;8486;;;8486;736
0;1221;;;1221;715
0;7246;;;7246;706
0;7772;;;7772;685
0;3519;;;3519;681
0;3743;;;3743;676
0;6125;;;6125;667
0;7401;;;7401;649
0;3192;;;3192;635
0;2263;;;2263;624
0;6323;;;6323;597
0;6228;;;6228;581
0;3772;;;3772;571
0;2629;;;2629;549
0;3213;;;3213;520
0;6130;;;6130;511
0;6121;;;6121;507
0;7421;;;7421;503
0;6132;;;6132;498
0;6123;;;6123;485
0;4242;;;4242;473
0;2625;;;2625;466
0;6222;;;6222;458
0;6314;;;6314;455
Gradiente 1;3712;Técnicos em museologia e afins;3433 - Gallery and Museum Technicians;3712;437
0;6325;;;6325;416
0;5115;;;5115;413
0;1143;;;1143;386
0;1010;;;1010;361
0;7771;;;7771;356
0;6124;;;6124;350
