sigla_uf;Gradiente;Código CBO;Título da Família Ocupacional;total_vinculos_ativos
DF;Gradiente 1;1415;Dir. e Gerentes de op. em empresas de turismo/hotelaria;1
DF;Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;744
DF;Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;315
DF;Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;297
DF;Gradiente 2;2521;Administradores e Profissionais de recursos humanos;276
DF;Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;201
DF;Gradiente 2;3513;Técnicos em contabilidade e em administração;187
DF;Gradiente 2;5241;Vendedores em domicílio;117
DF;Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;105
DF;Gradiente 2;2524;Administradores e Profissionais de recursos humanos;96
DF;Gradiente 2;4102;Supervisores administrativos e de serviços financeiros;77
DF;Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);38114
DF;Gradiente 3;3517;Técnicos e Corretores de seguros;286
DF;Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;187
DF;Gradiente 3;2523;Secretárias executivas e bilíngues;110
DF;Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;63
DF;Gradiente 3;2123;Engenheiros de computação e Administradores de TI;43
DF;Gradiente 3;3171;Técnicos de desenvolvimento de sistemas e aplicações;30
DF;Gradiente 3;3545;Técnicos e Corretores de seguros;28
DF;Gradiente 3;2512;Economistas, Contadores, Auditores e Peritos contábeis;28
DF;Gradiente 3;2612;Profissionais da informação (Biblio.), Tradutores e Intérpretes;10
DF;Gradiente 4;2525;Profissionais de administração econômico-financeira;2384
DF;Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;2088
DF;Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);566
DF;Gradiente 4;4223;Operadores de telemarketing (Ativo, receptivo e técnico);354
DF;Gradiente 4;4131;Auxiliares de contabilidade, folha de pagamento e faturamento;122
DF;Gradiente 4;3532;Técnicos em operações e serviços bancários;68
DF;Gradiente 4;4121;Datilógrafos, digitadores e operadores de transmissão de dados;10
DF;Gradiente 4;3515;Técnicos em secretariado, taquígrafos e estenotipistas;3
DF;Gradiente 4;4231;Despachantes documentalistas e afins;1
ES;0;2532;Não mapeado no estudo original;1045
ES;0;1421;Não mapeado no estudo original;625
ES;0;6221;Não mapeado no estudo original;291
ES;0;7825;Não mapeado no estudo original;214
ES;0;7151;Não mapeado no estudo original;131
ES;0;5143;Não mapeado no estudo original;90
ES;0;9144;Não mapeado no estudo original;89
ES;0;2410;Não mapeado no estudo original;83
ES;0;6410;Não mapeado no estudo original;66
ES;0;1231;Não mapeado no estudo original;43
ES;Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);117
ES;Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);14
ES;Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);10
ES;Gradiente 1;4122;Contínuos (Office-boys / Mensageiros);8
ES;Gradiente 1;2394;Programadores, avaliadores e orientadores de ensino;5
ES;Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;975
ES;Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;737
ES;Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;577
ES;Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;380
ES;Gradiente 2;5241;Vendedores em domicílio;117
ES;Gradiente 2;2521;Administradores e Profissionais de recursos humanos;109
ES;Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;68
ES;Gradiente 2;4102;Supervisores administrativos e de serviços financeiros;44
ES;Gradiente 2;2524;Administradores e Profissionais de recursos humanos;41
ES;Gradiente 2;1425;Diretores e Gerentes de serviços de informática;29
ES;Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);4797
ES;Gradiente 3;3517;Técnicos e Corretores de seguros;183
ES;Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;123
ES;Gradiente 3;2523;Secretárias executivas e bilíngues;95
ES;Gradiente 3;2512;Economistas, Contadores, Auditores e Peritos contábeis;70
ES;Gradiente 3;3545;Técnicos e Corretores de seguros;36
ES;Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;29
ES;Gradiente 3;2123;Engenheiros de computação e Administradores de TI;20
ES;Gradiente 3;3171;Técnicos de desenvolvimento de sistemas e aplicações;12
ES;Gradiente 3;4222;Recepcionistas em geral e Operadores de telefonia;11
ES;Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;1523
ES;Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);404
ES;Gradiente 4;2525;Profissionais de administração econômico-financeira;135
ES;Gradiente 4;4131;Auxiliares de contabilidade, folha de pagamento e faturamento;82
ES;Gradiente 4;3532;Técnicos em operações e serviços bancários;39
ES;Gradiente 4;4223;Operadores de telemarketing (Ativo, receptivo e técnico);13
ES;Gradiente 4;3515;Técnicos em secretariado, taquígrafos e estenotipistas;7
ES;Gradiente 4;4121;Datilógrafos, digitadores e operadores de transmissão de dados;1
ES;Gradiente 4;4231;Despachantes documentalistas e afins;1
GO;0;2532;Não mapeado no estudo original;2201
GO;0;1421;Não mapeado no estudo original;907
GO;0;5143;Não mapeado no estudo original;357
GO;0;3714;Não mapeado no estudo original;107
GO;0;7170;Não mapeado no estudo original;96
GO;0;3542;Não mapeado no estudo original;86
GO;0;2410;Não mapeado no estudo original;74
GO;0;2312;Não mapeado no estudo original;60
GO;0;2142;Não mapeado no estudo original;58
GO;0;3311;Não mapeado no estudo original;57
GO;Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);381
GO;Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);111
GO;Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);59
GO;Gradiente 1;4122;Contínuos (Office-boys / Mensageiros);16
GO;Gradiente 1;4151;Auxiliares de serviços de documentação, informação e pesquisa;3
GO;Gradiente 1;2394;Programadores, avaliadores e orientadores de ensino;3
GO;Gradiente 1;2618;Fotógrafos profissionais;1
GO;Gradiente 1;1415;Dir. e Gerentes de op. em empresas de turismo/hotelaria;1
GO;Gradiente 1;2515;Psicólogos e psicanalistas;1
GO;Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;926
GO;Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;747
GO;Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;629
GO;Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;366
GO;Gradiente 2;2521;Administradores e Profissionais de recursos humanos;276
GO;Gradiente 2;5241;Vendedores em domicílio;175
GO;Gradiente 2;2524;Administradores e Profissionais de recursos humanos;160
GO;Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;146
GO;Gradiente 2;4102;Supervisores administrativos e de serviços financeiros;139
GO;Gradiente 2;4213;Cobradores e afins;106
GO;Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);6861
GO;Gradiente 3;3517;Técnicos e Corretores de seguros;271
GO;Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;199
GO;Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;197
GO;Gradiente 3;3545;Técnicos e Corretores de seguros;171
GO;Gradiente 3;2523;Secretárias executivas e bilíngues;142
GO;Gradiente 3;3514;Serventuários da justiça e afins;95
GO;Gradiente 3;2512;Economistas, Contadores, Auditores e Peritos contábeis;52
GO;Gradiente 3;3171;Técnicos de desenvolvimento de sistemas e aplicações;19
GO;Gradiente 3;2123;Engenheiros de computação e Administradores de TI;15
GO;Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;2836
GO;Gradiente 4;2525;Profissionais de administração econômico-financeira;742
GO;Gradiente 4;3532;Técnicos em operações e serviços bancários;313
GO;Gradiente 4;4131;Auxiliares de contabilidade, folha de pagamento e faturamento;283
GO;Gradiente 4;4223;Operadores de telemarketing (Ativo, receptivo e técnico);188
GO;Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);164
GO;Gradiente 4;3515;Técnicos em secretariado, taquígrafos e estenotipistas;14
GO;Gradiente 4;4121;Datilógrafos, digitadores e operadores de transmissão de dados;3
GO;Gradiente 4;4231;Despachantes documentalistas e afins;2
IGNORADO;0;8485;Não mapeado no estudo original;29
IGNORADO;0;4141;Não mapeado no estudo original;19
IGNORADO;0;5143;Não mapeado no estudo original;17
IGNORADO;0;2532;Não mapeado no estudo original;12
IGNORADO;0;5191;Não mapeado no estudo original;9
IGNORADO;0;7152;Não mapeado no estudo original;7
IGNORADO;0;7170;Não mapeado no estudo original;7
IGNORADO;0;3144;Não mapeado no estudo original;4
IGNORADO;0;9144;Não mapeado no estudo original;2
IGNORADO;0;2153;Não mapeado no estudo original;2
IGNORADO;Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);99
IGNORADO;Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);39
IGNORADO;Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);5
IGNORADO;Gradiente 1;3713;Técnicos em artes gráficas;2
IGNORADO;Gradiente 1;2515;Psicólogos e psicanalistas;1
IGNORADO;Gradiente 2;1414;Diretores e Gerentes de operações comerciais (Varejo/Atacado);33
IGNORADO;Gradiente 2;4142;Apontadores e conferentes;13
IGNORADO;Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;7
IGNORADO;Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;3
IGNORADO;Gradiente 2;2624;Artistas visuais e desenhistas industriais (Designers);1
IGNORADO;Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;1
IGNORADO;Gradiente 2;4201;Supervisores de atendimento ao público e de pesquisa;1
IGNORADO;Gradiente 2;3912;Técnicos de planejamento e controle da produção;1
IGNORADO;Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);16
IGNORADO;Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;19
MA;0;2532;Não mapeado no estudo original;550
MA;0;1421;Não mapeado no estudo original;454
MA;0;1114;Não mapeado no estudo original;118
MA;0;3211;Não mapeado no estudo original;43
MA;0;2142;Não mapeado no estudo original;32
MA;0;5143;Não mapeado no estudo original;29
MA;0;7170;Não mapeado no estudo original;26
MA;0;2410;Não mapeado no estudo original;20
MA;0;5174;Não mapeado no estudo original;18
