sigla_uf,codigo_cbo_4,total_vinculos_ativos
AC,519315,46
AC,823315,27
AC,312320,86
AC,511210,103
AC,322415,497
AC,225133,17
AC,322245,46
AC,611005,66
AC,766125,8
AC,513420,73
AC,773120,88
AC,773115,65
AC,354815,58
AC,516210,166
AC,351725,33
AC,515215,196
AC,251540,11
AC,223710,230
AC,131210,42
AC,111120,18
AC,420130,3
AC,910105,32
AC,724415,25
AC,142130,7
AC,322305,18
AC,253225,16
AC,914105,10
AC,317105,21
AC,375115,13
AC,322430,32
AC,411045,26
AC,211205,3
AC,724435,8
AC,515210,59
AC,773320,4
AC,411015,10
AC,992220,10
AC,951310,12
AC,214105,51
AC,131310,12
AC,715145,55
AC,232110,19
AC,262830,11
AC,375105,2
AC,763005,7
AC,253110,9
AC,253125,8
AC,374125,11
AC,420110,11
AC,141105,16
AC,225270,21
AC,630110,2
AC,262405,4
AC,513440,27
AC,820210,2
AC,721425,15
AC,262420,6
AC,715120,3
AC,252715,14
AC,724515,5
AC,122305,9
AC,223288,11
AC,342540,3
AC,318805,3
AC,992110,5
AC,223525,2
AC,913105,23
AC,222115,3
AC,711220,3
AC,225118,6
AC,374105,4
AC,324220,15
AC,311505,20
AC,517225,1
AC,720110,5
AC,354820,8
AC,252720,2
AC,225127,1
AC,910110,3
AC,375120,4
AC,353210,1
AC,142110,8
AC,513115,7
AC,513310,1
AC,841464,13
AC,223415,14
AC,763105,5
AC,641005,2
AC,225121,6
AC,122520,2
AC,768705,2
AC,225310,1
AC,225140,7
AC,374425,2
AC,322715,1
AC,424105,5
AC,820110,1
AC,511105,2
AC,202120,1
AC,524205,2
AC,324215,2
AC,911325,1
AC,513105,2
AC,823330,1
AC,715105,1
AC,715715,1
AC,341210,1
AC,234652,1
AC,766140,1
AC,716510,1
AC,311710,3
AC,517305,1
AC,234405,1
AC,715510,1
AC,111410,1114
AC,225215,3
AC,261135,30
AC,313310,163
AC,513425,579
AC,519940,313
AC,992225,317
AC,841408,50
AC,261425,72
AC,424130,42
AC,622005,159
AC,782510,2951
AC,517420,1638
AC,371410,87
AC,414140,407
AC,724205,219
AC,142405,70
AC,520110,514
AC,513605,128
AC,411030,902
AC,371105,34
AC,334110,1884
AC,515110,100
AC,612505,3
AC,313220,262
AC,773335,12
AC,811770,5
AC,391215,86
AC,351315,31
AC,221205,378
AC,252545,56
AC,204105,132
AC,731320,96
AC,841440,9
AC,311305,34
AC,411025,151
AC,516345,74
AC,212410,50
AC,414120,187
AC,774105,226
AC,715205,33
AC,622010,146
AC,231320,27
AC,422205,105
AC,232135,47
AC,523115,10
AC,731205,2
AC,234616,82
AC,765235,9
AC,764005,21
AC,341305,128
AC,951315,111
AC,623020,48
AC,354705,14
AC,725010,43
AC,782110,44
AC,311105,6
AC,622110,2
AC,262710,23
AC,142415,31
AC,514230,44
AC,254305,70
AC,324120,54
AC,223280,37
AC,623105,8
AC,20110,24
AC,818105,15
AC,214270,19
AC,314305,10
AC,711210,21
AC,325115,20
AC,752205,5
AC,773105,18
AC,223510,30
AC,261715,15
AC,391135,5
AC,752210,7
AC,342115,18
AC,622420,5
AC,751105,1
AC,510205,4
AC,371210,4
AC,234745,12
AC,122405,9
AC,832110,2
AC,613110,12
AC,354150,10
AC,223445,7
AC,261805,6
AC,716540,2
AC,322605,11
AC,715545,18
AC,142125,5
AC,768120,1
AC,622310,9
AC,731315,5
AC,224115,1
AC,225112,3
AC,513110,5
AC,142410,11
AC,954205,4
AC,314125,5
AC,613305,2
AC,113015,3
AC,821205,30
AC,142535,9
AC,234415,1
AC,632105,2
AC,519215,9
AC,262125,5
AC,623205,2
AC,225136,4
AC,233125,8
AC,201110,7
AC,862515,1
AC,214505,6
AC,622410,1
AC,10310,1
AC,722205,2
AC,223545,1
AC,862405,2
AC,841715,4
AC,725030,2
AC,915115,1
AC,317115,2
AC,811775,2
AC,782415,3
AC,810305,1
AC,212320,4
AC,214325,1
AC,515205,7
AC,410215,6
AC,821425,1
AC,752310,1
AC,813115,3
AC,211220,1
AC,811810,2
AC,114205,1
AC,760310,1
AC,710220,1
AC,821445,1
AC,732125,1
AC,351115,1
AC,721205,1
AC,234420,1
AC,342105,1
AC,915205,1
AC,740105,2
AC,225280,1
AC,251235,1
AC,784125,1
AC,521140,2943
AC,222110,208
AC,233135,423
AC,225109,10
AC,225125,1317
AC,513505,2169
AC,521125,2347
AC,513435,1992
AC,413110,542
AC,331110,607
AC,622020,137
AC,828110,306
AC,513205,3759
AC,342120,33
AC,632125,56
AC,782410,1117
AC,772115,19
AC,782105,12
AC,848305,665
AC,784110,86
AC,519905,39
AC,783220,183
AC,513405,689
AC,821105,1
AC,231205,2077
AC,515310,124
AC,301105,32
AC,391210,66
AC,724110,281
AC,313105,64
AC,732120,434
AC,783215,113
AC,410220,15
AC,999999,105
AC,515305,190
AC,252210,644
AC,142330,137
AC,301110,97
AC,861110,9
AC,223605,493
AC,848525,168
AC,377110,348
AC,823325,116
AC,712205,42
AC,782730,18
AC,841456,142
AC,314410,94
AC,311515,16
AC,254410,135
AC,261110,32
AC,141205,188
AC,232140,101
AC,725705,83
AC,861205,46
AC,234915,16
AC,239430,73
AC,723310,67
AC,131305,47
AC,111255,1
AC,514105,5
AC,225130,9
AC,724410,12
AC,715530,4
AC,239425,5
AC,20115,11
AC,762345,43
AC,20105,21
AC,763110,8
AC,766315,18
AC,313320,11
AC,715405,79
AC,519925,4
AC,142705,41
AC,254505,19
AC,782205,5
AC,410205,93
AC,351815,7
AC,954305,9
AC,992115,120
AC,782505,25
AC,913120,26
AC,763015,15
AC,351715,6
AC,716525,64
AC,123115,25
AC,515315,4
AC,848205,3
AC,374115,6
AC,519910,21
AC,516310,28
AC,251505,21
AC,231325,27
AC,910205,26
AC,241225,35
AC,214335,2
AC,141705,14
AC,513325,1
AC,751125,9
AC,516220,16
AC,424120,6
AC,391130,8
AC,262105,11
AC,232155,19
AC,765240,9
AC,782710,4
AC,791120,1
AC,233105,2
AC,623005,13
AC,411040,4
AC,342110,10
AC,373135,8
AC,214935,5
AC,848110,16
AC,780105,7
AC,862140,5
AC,321305,1
AC,612320,2
AC,763310,10
AC,251520,6
AC,762215,8
AC,723215,1
AC,225115,1
AC,320105,5
AC,203210,2
AC,314405,7
AC,225165,4
AC,516150,6
AC,724105,2
AC,711230,4
AC,373230,1
AC,214340,2
AC,510130,5
AC,333115,5
AC,142355,2
AC,225330,4
AC,111230,1
AC,214805,2
AC,142510,3
AC,717025,2
AC,783235,3
AC,214315,2
AC,715220,5
AC,514315,3
AC,253220,2
AC,841468,3
AC,915110,1
AC,721420,1
AC,372110,1
AC,242410,3
AC,222205,2
AC,725415,1
AC,142345,1
AC,513225,1
AC,711235,1
AC,521115,765
AC,512115,97
AC,351425,101
AC,516305,35
AC,231105,1190
AC,841610,8
AC,214320,7
AC,354125,615
AC,511215,64
AC,762110,19
AC,414135,93
AC,373105,52
AC,782705,225
AC,231305,2419
AC,772105,78
AC,910210,11
AC,413230,13
AC,730105,17
AC,517315,22
AC,313130,133
AC,715135,193
AC,354140,59
AC,352310,610
AC,782320,134
AC,314120,10
AC,950105,83
AC,21210,925
AC,21110,1677
AC,231335,26
AC,252310,29
AC,241005,130
AC,513220,57
AC,224105,83
AC,251510,348
AC,914420,6
AC,253120,14
AC,512105,195
AC,141505,13
AC,950305,10
AC,422320,88
AC,214010,21
AC,251530,91
AC,352205,51
AC,516505,46
AC,716305,83
AC,314110,42
AC,953115,66
AC,517220,177
AC,251305,40
AC,721220,18
AC,212315,10
AC,313205,31
AC,317210,195
AC,642015,34
AC,142315,23
AC,131105,15
AC,354210,21
AC,768325,4
AC,919110,22
AC,724115,25
AC,415215,55
AC,214260,21
AC,123105,177
AC,333110,44
AC,731115,18
AC,717010,2
AC,414210,103
AC,328105,12
AC,341105,23
AC,715230,56
AC,214375,1
AC,354135,61
AC,325310,3
AC,513615,59
AC,341205,7
AC,214915,16
AC,122610,2
AC,519115,12
AC,832135,7
AC,848210,4
AC,919310,29
AC,232165,22
AC,950110,6
AC,523120,7
AC,725505,16
AC,510135,14
AC,632115,8
AC,761354,2
AC,313305,13
AC,142340,11
AC,766320,7
AC,782115,24
AC,731135,1
AC,312210,4
AC,233110,8
AC,141720,6
AC,354605,2
AC,519920,2
AC,763205,1
AC,123310,7
AC,712215,1
AC,123605,5
AC,377105,1
AC,376415,2
AC,252515,2
AC,141805,2
AC,234210,1
AC,261210,8
AC,514330,4
AC,234620,4
AC,373140,4
AC,823215,1
AC,242205,7
AC,141525,3
AC,763320,3
AC,371405,1
